"country_name","country_text_id","year","v2x_polyarchy","e_boix_regime","e_migdppc","e_regionpol_6C"
"Lebanon","LBN",2010,0.495,0,16988,"Middle East and Northern Africa"
"Liberia","LBR",2010,0.667,1,896,"Sub-Saharan Africa"
"Libya","LBY",2010,0.072,0,31419,"Middle East and Northern Africa"
"Sri Lanka","LKA",2010,0.421,0,7844,"Asia and Pacific"
"Lesotho","LSO",2010,0.595,1,2304,"Sub-Saharan Africa"
"Lithuania","LTU",2010,0.83,1,18340,"Eastern Europe and Central Asia"
"Luxembourg","LUX",2010,0.87,1,58364,"Western Europe and North America"
"Latvia","LVA",2010,0.808,1,16847,"Eastern Europe and Central Asia"
"Morocco","MAR",2010,0.293,0,6603,"Middle East and Northern Africa"
"Moldova","MDA",2010,0.61,1,4180,"Eastern Europe and Central Asia"
"Madagascar","MDG",2010,0.226,0,1301,"Sub-Saharan Africa"
"Maldives","MDV",2010,0.6,1,NA,"Asia and Pacific"
"Mexico","MEX",2010,0.669,1,14276,"Latin America and the Caribbean"
"Macedonia","MKD",2010,0.568,1,11625,"Eastern Europe and Central Asia"
"Mali","MLI",2010,0.597,1,1591,"Sub-Saharan Africa"
"Malta","MLT",2010,0.755,1,24706,"Western Europe and North America"
"Burma/Myanmar","MMR",2010,0.122,0,3384,"Asia and Pacific"
"Montenegro","MNE",2010,0.499,NA,14536,"Eastern Europe and Central Asia"
"Mongolia","MNG",2010,0.702,1,7487,"Eastern Europe and Central Asia"
"Mozambique","MOZ",2010,0.447,0,966,"Sub-Saharan Africa"
"Mauritania","MRT",2010,0.496,0,2858,"Sub-Saharan Africa"
"Mauritius","MUS",2010,0.816,1,15857,"Sub-Saharan Africa"
"Malawi","MWI",2010,0.55,1,994,"Sub-Saharan Africa"
"Malaysia","MYS",2010,0.339,0,17653,"Asia and Pacific"
"Namibia","NAM",2010,0.654,0,7440,"Sub-Saharan Africa"
"Niger","NER",2010,0.26,0,855,"Sub-Saharan Africa"
"Nigeria","NGA",2010,0.4,0,5087,"Sub-Saharan Africa"
"Nicaragua","NIC",2010,0.476,1,3914,"Latin America and the Caribbean"
"Netherlands","NLD",2010,0.887,1,44394,"Western Europe and North America"
"Norway","NOR",2010,0.905,1,72578,"Western Europe and North America"
"Nepal","NPL",2010,0.524,1,2022,"Asia and Pacific"
"New Zealand","NZL",2010,0.886,1,30904,"Western Europe and North America"
"Oman","OMN",2010,0.165,0,43260,"Middle East and Northern Africa"
"Pakistan","PAK",2010,0.51,1,4133,"Asia and Pacific"
"Panama","PAN",2010,0.796,1,15187,"Latin America and the Caribbean"
"Peru","PER",2010,0.784,1,9309,"Latin America and the Caribbean"
"Philippines","PHL",2010,0.539,1,5449,"Asia and Pacific"
"Papua New Guinea","PNG",2010,0.404,1,NA,"Asia and Pacific"
"Poland","POL",2010,0.882,1,20495,"Eastern Europe and Central Asia"
"North Korea","PRK",2010,0.085,0,1713,"Asia and Pacific"
"Portugal","PRT",2010,0.931,1,25589,"Western Europe and North America"
"Paraguay","PRY",2010,0.622,1,6878,"Latin America and the Caribbean"
"Palestine/West Bank","PSE",2010,0.199,NA,4416,"Middle East and Northern Africa"
"Palestine/Gaza","PSG",2010,0.17,NA,NA,"Middle East and Northern Africa"
"Qatar","QAT",2010,0.085,0,123057,"Middle East and Northern Africa"
"Romania","ROU",2010,0.668,1,16393,"Eastern Europe and Central Asia"
"Russia","RUS",2010,0.333,0,20255,"Eastern Europe and Central Asia"
"Rwanda","RWA",2010,0.234,0,1361,"Sub-Saharan Africa"
"Saudi Arabia","SAU",2010,0.021,0,39370,"Middle East and Northern Africa"
"Sudan","SDN",2010,0.228,0,NA,"Sub-Saharan Africa"
"Senegal","SEN",2010,0.699,1,2120,"Sub-Saharan Africa"
"Singapore","SGP",2010,0.404,0,61827,"Asia and Pacific"
"Solomon Islands","SLB",2010,0.565,1,NA,"Asia and Pacific"
"Sierra Leone","SLE",2010,0.555,1,1303,"Sub-Saharan Africa"
"El Salvador","SLV",2010,0.596,1,7260,"Latin America and the Caribbean"
